"date","serial_number","model","capacity_bytes","failure","smart_1_normalized","smart_1_raw","smart_2_normalized","smart_2_raw","smart_3_normalized","smart_3_raw","smart_4_normalized","smart_4_raw","smart_5_normalized","smart_5_raw","smart_7_normalized","smart_7_raw","smart_8_normalized","smart_8_raw","smart_9_normalized","smart_9_raw","smart_10_normalized","smart_10_raw","smart_11_normalized","smart_11_raw","smart_12_normalized","smart_12_raw","smart_13_normalized","smart_13_raw","smart_15_normalized","smart_15_raw","smart_22_normalized","smart_22_raw","smart_183_normalized","smart_183_raw","smart_184_normalized","smart_184_raw","smart_187_normalized","smart_187_raw","smart_188_normalized","smart_188_raw","smart_189_normalized","smart_189_raw","smart_190_normalized","smart_190_raw","smart_191_normalized","smart_191_raw","smart_192_normalized","smart_192_raw","smart_193_normalized","smart_193_raw","smart_194_normalized","smart_194_raw","smart_195_normalized","smart_195_raw","smart_196_normalized","smart_196_raw","smart_197_normalized","smart_197_raw","smart_198_normalized","smart_198_raw","smart_199_normalized","smart_199_raw","smart_200_normalized","smart_200_raw","smart_201_normalized","smart_201_raw","smart_220_normalized","smart_220_raw","smart_222_normalized","smart_222_raw","smart_223_normalized","smart_223_raw","smart_224_normalized","smart_224_raw","smart_225_normalized","smart_225_raw","smart_226_normalized","smart_226_raw","smart_240_normalized","smart_240_raw","smart_241_normalized","smart_241_raw","smart_242_normalized","smart_242_raw","smart_250_normalized","smart_250_raw","smart_251_normalized","smart_251_raw","smart_252_normalized","smart_252_raw","smart_254_normalized","smart_254_raw","smart_255_normalized","smart_255_raw"
"2016-01-01","MJ0351YNG9Z0XA","Hitachi HDS5C3030ALA630",1.48248990956645e-311,0,100,135,108,143,540,100,14,100,0,100,0,122,37,97,27929,100,0,NA,NA,100,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,100,216,100,216,253,20,NA,NA,100,0,100,0,100,0,200,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2016-01-01","Z305B2QN","ST4000DM000",1.97665142785814e-311,0,113,54551400,NA,NA,96,0,100,4,100,0,63,1.279799981311e-317,NA,NA,100,411,100,0,NA,NA,100,4,NA,NA,NA,NA,NA,NA,100,0,100,0,100,0,100,0,100,0,70,30,100,0,100,0,92,16090,30,30,NA,NA,NA,NA,100,0,100,0,200,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,1.31915527439613e-321,100,3.46796301192486e-315,100,1.31688162381922e-315,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
